zip,county,latitude,longitude,est_population
81625,Moffat County,40.52,-107.55,9980
81626,Moffat County,40.52,-107.55,1653
81630,Mesa County,39.33,-108.21,830
81631,Eagle County,39.65,-106.82,6643
81632,Eagle County,39.65,-106.6,8300
81633,Moffat County,40.34,-108.43,0
81635,Garfield County,39.44,-108.05,5500
81636,Garfield County,39.44,-108.02,87
81637,Eagle County,39.64,-106.94,6750
81638,Moffat County,40.37,-107.6,132
81639,Routt County,40.48,-107.26,1930
81640,Moffat County,40.67,-108.51,210
81641,Rio Blanco County,40.05,-107.89,3280
81642,Pitkin County,39.27,-106.59,45
81643,Mesa County,39.17,-108.13,695
81645,Eagle County,39.58,-106.42,1097
81646,Mesa County,39.18,-108.07,180
81647,Garfield County,39.58,-107.53,6530
81648,Rio Blanco County,40.08,-108.77,2380
81649,Eagle County,39.5,-106.36,226
81650,Garfield County,39.53,-107.77,12750
81652,Garfield County,39.54,-107.65,5020
81653,Moffat County,40.99,-107.37,16
81654,Pitkin County,39.33,-106.98,1030
81655,Eagle County,39.78,-106.46,304
81656,Pitkin County,39.28,-106.9,419
81657,Eagle County,39.64,-106.39,3540
81658,Eagle County,39.64,-106.39,4276
